created,value
2020-08-01T00:03:05.000Z,30.2
2020-08-01T00:18:05.000Z,30.1
2020-08-01T00:33:05.000Z,30.0
2020-08-01T00:48:05.000Z,29.8
2020-08-01T01:03:05.000Z,29.7
2020-08-01T01:18:05.000Z,29.6
2020-08-01T01:33:05.000Z,29.5
2020-08-01T01:48:05.000Z,29.4
2020-08-01T02:03:05.000Z,29.3
2020-08-01T02:18:05.000Z,29.1
2020-08-01T02:33:05.000Z,29.0
2020-08-01T02:48:05.000Z,28.9
2020-08-01T03:03:05.000Z,28.8
2020-08-01T03:18:05.000Z,28.7
2020-08-01T03:33:05.000Z,28.6
2020-08-01T03:48:05.000Z,28.5
2020-08-01T04:03:05.000Z,28.3
2020-08-01T04:18:05.000Z,28.2
2020-08-01T04:33:05.000Z,28.1
2020-08-01T04:48:05.000Z,28.0
2020-08-01T05:03:05.000Z,27.9
2020-08-01T05:18:05.000Z,27.8
2020-08-01T05:33:05.000Z,27.7
2020-08-01T05:48:05.000Z,27.6
2020-08-01T06:03:05.000Z,27.5
2020-08-01T06:18:05.000Z,27.5
2020-08-01T06:33:05.000Z,27.4
2020-08-01T06:48:05.000Z,27.3
2020-08-01T07:03:05.000Z,27.3
2020-08-01T07:18:05.000Z,27.2
2020-08-01T07:33:05.000Z,27.2
2020-08-01T07:48:05.000Z,27.2
2020-08-01T08:03:05.000Z,27.2
2020-08-01T08:18:05.000Z,27.2
2020-08-01T08:33:05.000Z,27.2
2020-08-01T08:48:05.000Z,27.2
2020-08-01T09:03:05.000Z,27.2
2020-08-01T09:18:05.000Z,27.3
2020-08-01T09:33:05.000Z,27.4
2020-08-01T09:48:05.000Z,27.5
2020-08-01T10:03:05.000Z,27.7
2020-08-01T10:18:05.000Z,27.9
2020-08-01T10:33:05.000Z,28.1
2020-08-01T10:48:05.000Z,28.4
2020-08-01T11:03:05.000Z,28.7
2020-08-01T11:18:05.000Z,29.1
2020-08-01T11:33:05.000Z,29.4
2020-08-01T11:48:05.000Z,29.8
2020-08-01T12:03:05.000Z,30.1
2020-08-01T12:18:05.000Z,30.5
2020-08-01T12:33:05.000Z,30.9
2020-08-01T12:48:05.000Z,31.3
2020-08-01T13:03:05.000Z,31.6
2020-08-01T13:18:05.000Z,32.0
2020-08-01T13:33:05.000Z,32.3
2020-08-01T13:48:05.000Z,32.7
2020-08-01T14:03:05.000Z,32.9
2020-08-01T14:18:05.000Z,33.1
2020-08-01T14:33:05.000Z,33.3
2020-08-01T14:48:05.000Z,33.4
2020-08-01T15:03:05.000Z,33.5
2020-08-01T15:18:05.000Z,33.5
2020-08-01T15:33:13.000Z,33.5
2020-08-01T15:48:06.000Z,33.5
2020-08-01T16:03:05.000Z,33.5
2020-08-01T16:18:05.000Z,33.5
2020-08-01T16:33:05.000Z,33.4
2020-08-01T16:48:05.000Z,33.4
2020-08-01T17:03:05.000Z,33.3
2020-08-01T17:18:05.000Z,33.3
2020-08-01T17:33:05.000Z,33.2
2020-08-01T17:48:05.000Z,33.1
2020-08-01T18:03:05.000Z,33.1
2020-08-01T18:18:05.000Z,33.0
2020-08-01T18:33:05.000Z,32.9
2020-08-01T18:48:05.000Z,32.8
2020-08-01T19:03:05.000Z,32.7
2020-08-01T19:18:05.000Z,32.6
2020-08-01T19:33:05.000Z,32.5
2020-08-01T19:48:05.000Z,32.4
2020-08-01T20:03:05.000Z,32.3
2020-08-01T20:18:05.000Z,32.2
2020-08-01T20:33:05.000Z,32.1
2020-08-01T20:48:05.000Z,31.9
2020-08-01T21:03:05.000Z,31.8
2020-08-01T21:18:05.000Z,31.7
2020-08-01T21:33:05.000Z,31.6
2020-08-01T21:48:05.000Z,31.4
2020-08-01T22:03:05.000Z,31.3
2020-08-01T22:18:05.000Z,31.2
2020-08-01T22:33:05.000Z,31.0
2020-08-01T22:48:05.000Z,30.9
2020-08-01T23:03:05.000Z,30.8
2020-08-01T23:18:05.000Z,30.7
2020-08-01T23:33:05.000Z,30.5
2020-08-01T23:48:05.000Z,30.4
2020-08-02T00:03:05.000Z,30.3
2020-08-02T00:18:05.000Z,30.2
2020-08-02T00:33:05.000Z,30.1
2020-08-02T00:48:05.000Z,29.9
2020-08-02T01:03:05.000Z,29.8
2020-08-02T01:18:05.000Z,29.7
2020-08-02T01:33:05.000Z,29.6
2020-08-02T01:48:05.000Z,29.5
2020-08-02T02:03:05.000Z,29.4
2020-08-02T02:18:05.000Z,29.2
2020-08-02T02:33:05.000Z,29.1
2020-08-02T02:48:05.000Z,29.0
2020-08-02T03:03:05.000Z,28.9
2020-08-02T03:18:05.000Z,28.8
2020-08-02T03:33:05.000Z,28.7
2020-08-02T03:48:05.000Z,28.6
2020-08-02T04:03:05.000Z,28.5
2020-08-02T04:18:05.000Z,28.4
2020-08-02T04:33:05.000Z,28.3
2020-08-02T04:48:05.000Z,28.2
2020-08-02T05:03:05.000Z,28.1
2020-08-02T05:18:05.000Z,28.0
2020-08-02T05:33:05.000Z,27.9
2020-08-02T05:48:05.000Z,27.8
2020-08-02T06:03:05.000Z,27.8
2020-08-02T06:18:05.000Z,27.7
2020-08-02T06:33:05.000Z,27.6
2020-08-02T06:48:05.000Z,27.6
2020-08-02T07:03:05.000Z,27.6
2020-08-02T07:18:05.000Z,27.5
2020-08-02T07:33:05.000Z,27.5
2020-08-02T07:48:05.000Z,27.5
2020-08-02T08:03:05.000Z,27.5
2020-08-02T08:18:05.000Z,27.5
2020-08-02T08:33:05.000Z,27.5
2020-08-02T08:48:05.000Z,27.5
2020-08-02T09:03:05.000Z,27.5
2020-08-02T09:18:05.000Z,27.6
2020-08-02T09:33:05.000Z,27.7
2020-08-02T09:48:05.000Z,27.8
2020-08-02T10:03:05.000Z,28.0
2020-08-02T10:18:05.000Z,28.3
2020-08-02T10:33:05.000Z,28.5
2020-08-02T10:48:05.000Z,28.8
2020-08-02T11:03:05.000Z,29.1
2020-08-02T11:18:05.000Z,29.4
2020-08-02T11:33:05.000Z,29.8
2020-08-02T11:48:05.000Z,30.1
2020-08-02T12:03:05.000Z,30.5
2020-08-02T12:18:05.000Z,30.8
2020-08-02T12:33:05.000Z,31.2
2020-08-02T12:48:05.000Z,31.5
2020-08-02T13:03:05.000Z,31.9
2020-08-02T13:18:05.000Z,32.2
2020-08-02T13:33:05.000Z,32.5
2020-08-02T13:48:05.000Z,32.8
2020-08-02T14:03:05.000Z,33.0
2020-08-02T14:18:05.000Z,33.2
2020-08-02T14:33:05.000Z,33.4
2020-08-02T14:48:05.000Z,33.5
2020-08-02T15:03:05.000Z,33.6
2020-08-02T15:18:05.000Z,33.6
2020-08-02T15:33:13.000Z,33.6
2020-08-02T15:48:06.000Z,33.6
2020-08-02T16:03:05.000Z,33.6
2020-08-02T16:18:05.000Z,33.6
2020-08-02T16:33:05.000Z,33.5
2020-08-02T16:48:05.000Z,33.5
2020-08-02T17:03:05.000Z,33.4
2020-08-02T17:18:05.000Z,33.3
2020-08-02T17:33:05.000Z,33.2
2020-08-02T17:48:05.000Z,33.2
2020-08-02T18:03:05.000Z,33.1
2020-08-02T18:18:05.000Z,33.0
2020-08-02T18:33:05.000Z,32.9
2020-08-02T18:48:05.000Z,32.8
2020-08-02T19:03:05.000Z,32.7
2020-08-02T19:18:05.000Z,32.6
2020-08-02T19:33:05.000Z,32.5
2020-08-02T19:48:05.000Z,32.3
2020-08-02T20:03:05.000Z,32.2
2020-08-02T20:18:05.000Z,32.1
2020-08-02T20:33:05.000Z,32.0
2020-08-02T20:48:05.000Z,31.8
2020-08-02T21:03:05.000Z,31.7
2020-08-02T21:18:05.000Z,31.6
2020-08-02T21:33:05.000Z,31.5
2020-08-02T21:48:05.000Z,31.3
2020-08-02T22:03:05.000Z,31.2
2020-08-02T22:18:05.000Z,31.1
2020-08-02T22:33:05.000Z,31.0
2020-08-02T22:48:05.000Z,30.9
2020-08-02T23:03:05.000Z,30.7
2020-08-02T23:18:05.000Z,30.6
2020-08-02T23:33:05.000Z,30.5
2020-08-02T23:48:05.000Z,30.4
2020-08-03T00:03:05.000Z,30.3
2020-08-03T00:18:05.000Z,30.2
2020-08-03T00:33:05.000Z,30.0
2020-08-03T00:48:05.000Z,29.9
2020-08-03T01:03:05.000Z,29.8
2020-08-03T01:18:05.000Z,29.7
2020-08-03T01:33:05.000Z,29.6
2020-08-03T01:48:05.000Z,29.5
2020-08-03T02:03:05.000Z,29.4
2020-08-03T02:18:05.000Z,29.3
2020-08-03T02:33:05.000Z,29.2
2020-08-03T02:48:05.000Z,29.1
2020-08-03T03:03:05.000Z,29.0
2020-08-03T03:18:05.000Z,29.0
2020-08-03T03:33:05.000Z,28.9
2020-08-03T03:48:05.000Z,28.8
2020-08-03T04:03:05.000Z,28.7
2020-08-03T04:18:05.000Z,28.6
2020-08-03T04:33:05.000Z,28.5
2020-08-03T04:48:05.000Z,28.5
2020-08-03T05:03:05.000Z,28.4
2020-08-03T05:18:05.000Z,28.3
2020-08-03T05:33:05.000Z,28.2
2020-08-03T05:48:05.000Z,28.2
2020-08-03T06:03:05.000Z,28.1
2020-08-03T06:18:05.000Z,28.1
2020-08-03T06:33:05.000Z,28.0
2020-08-03T06:48:05.000Z,28.0
2020-08-03T07:03:05.000Z,28.0
2020-08-03T07:18:05.000Z,28.0
2020-08-03T07:33:05.000Z,27.9
2020-08-03T07:48:05.000Z,27.9
2020-08-03T08:03:05.000Z,27.9
2020-08-03T08:18:05.000Z,28.0
2020-08-03T08:33:05.000Z,28.0
2020-08-03T08:48:05.000Z,28.0
2020-08-03T09:03:05.000Z,28.1
2020-08-03T09:18:05.000Z,28.1
2020-08-03T09:33:05.000Z,28.2
2020-08-03T09:48:05.000Z,28.4
2020-08-03T10:03:05.000Z,28.5
2020-08-03T10:18:05.000Z,28.7
2020-08-03T10:33:05.000Z,28.9
2020-08-03T10:48:05.000Z,29.1
2020-08-03T11:03:05.000Z,29.3
2020-08-03T11:18:05.000Z,29.6
2020-08-03T11:33:05.000Z,29.9
2020-08-03T11:48:05.000Z,30.1
2020-08-03T12:03:05.000Z,30.4
2020-08-03T12:18:05.000Z,30.6
2020-08-03T12:33:05.000Z,30.9
2020-08-03T12:48:05.000Z,31.1
2020-08-03T13:03:05.000Z,31.4
2020-08-03T13:18:05.000Z,31.6
2020-08-03T13:33:05.000Z,31.8
2020-08-03T13:48:05.000Z,32.0
2020-08-03T14:03:05.000Z,32.2
2020-08-03T14:18:05.000Z,32.3
2020-08-03T14:33:05.000Z,32.5
2020-08-03T14:48:05.000Z,32.5
2020-08-03T15:03:05.000Z,32.6
2020-08-03T15:18:05.000Z,32.6
2020-08-03T15:33:12.000Z,32.6
2020-08-03T15:48:06.000Z,32.6
2020-08-03T16:03:05.000Z,32.6
2020-08-03T16:18:05.000Z,32.6
2020-08-03T16:33:05.000Z,32.5
2020-08-03T16:48:05.000Z,32.5
2020-08-03T17:03:05.000Z,32.4
2020-08-03T17:18:05.000Z,32.4
2020-08-03T17:33:05.000Z,32.3
2020-08-03T17:48:05.000Z,32.2
2020-08-03T18:03:05.000Z,32.1
2020-08-03T18:18:05.000Z,32.0
2020-08-03T18:33:05.000Z,32.0
2020-08-03T18:48:05.000Z,31.9
2020-08-03T19:03:05.000Z,31.8
2020-08-03T19:18:05.000Z,31.7
2020-08-03T19:33:05.000Z,31.5
2020-08-03T19:48:05.000Z,31.4
2020-08-03T20:03:05.000Z,31.3
2020-08-03T20:18:05.000Z,31.2
2020-08-03T20:33:05.000Z,31.0
2020-08-03T20:48:05.000Z,30.9
2020-08-03T21:03:05.000Z,30.8
2020-08-03T21:18:05.000Z,30.7
2020-08-03T21:33:05.000Z,30.6
2020-08-03T21:48:05.000Z,30.4
2020-08-03T22:03:05.000Z,30.3
2020-08-03T22:18:05.000Z,30.2
2020-08-03T22:33:05.000Z,30.1
2020-08-03T22:48:05.000Z,30.0
2020-08-03T23:03:05.000Z,29.8
2020-08-03T23:18:05.000Z,29.7
2020-08-03T23:33:05.000Z,29.6
2020-08-03T23:48:05.000Z,29.5
2020-08-04T00:03:05.000Z,29.4
2020-08-04T00:18:05.000Z,29.3
2020-08-04T00:33:05.000Z,29.2
2020-08-04T00:48:05.000Z,29.1
2020-08-04T01:03:05.000Z,29.0
2020-08-04T01:18:05.000Z,28.9
2020-08-04T01:33:05.000Z,28.8
2020-08-04T01:48:05.000Z,28.7
2020-08-04T02:03:05.000Z,28.6
