created,value
2020-09-03T11:03:05.000Z,21.9
2020-09-03T11:48:05.000Z,22.8
2020-09-03T12:33:05.000Z,23.6
2020-09-03T16:03:05.000Z,26.4
2020-09-04T09:48:13.000Z,21.4
2020-09-04T11:33:05.000Z,23.3
2020-09-04T12:03:05.000Z,23.9
2020-09-04T12:33:05.000Z,24.6
2020-09-05T12:18:05.000Z,25.1
2020-09-05T15:03:05.000Z,28.2
2020-09-06T07:33:05.000Z,21.6
2020-09-06T09:03:05.000Z,21.9
2020-09-06T09:48:14.000Z,22.5
2020-09-06T11:03:05.000Z,23.9
2020-09-06T11:33:05.000Z,24.6
2020-09-06T12:03:05.000Z,25.3
2020-09-06T12:18:05.000Z,25.7
2020-09-06T14:18:05.000Z,27.8
2020-09-06T15:18:05.000Z,28.5
2020-09-06T15:33:05.000Z,28.6
2020-09-06T15:48:05.000Z,28.7
2020-09-06T16:48:05.000Z,28.5
2020-09-07T09:18:05.000Z,22.0
2020-09-07T09:48:13.000Z,22.4
2020-09-07T10:18:05.000Z,22.9
2020-09-07T10:33:05.000Z,23.2
2020-09-07T11:03:05.000Z,23.9
2020-09-07T11:48:05.000Z,24.9
2020-09-07T12:03:05.000Z,25.3
2020-09-07T12:18:05.000Z,25.7
2020-09-07T12:33:05.000Z,26.0
2020-09-07T13:03:05.000Z,26.7
2020-09-07T13:33:05.000Z,27.4
2020-09-07T15:18:05.000Z,28.8
2020-09-07T15:33:05.000Z,28.8
2020-09-07T15:48:05.000Z,28.8
2020-09-07T16:03:05.000Z,28.8
2020-09-07T16:18:05.000Z,28.8
2020-09-08T07:03:05.000Z,22.7
2020-09-08T07:33:05.000Z,22.7
2020-09-08T08:03:05.000Z,22.7
2020-09-08T08:18:05.000Z,22.7
2020-09-08T08:33:05.000Z,22.8
2020-09-08T08:48:05.000Z,22.9
2020-09-08T09:03:05.000Z,23.0
2020-09-08T09:18:05.000Z,23.1
2020-09-08T09:33:05.000Z,23.3
2020-09-08T09:48:11.000Z,23.5
2020-09-08T10:03:06.000Z,23.7
2020-09-08T10:18:05.000Z,24.0
2020-09-08T10:33:05.000Z,24.2
2020-09-08T10:48:05.000Z,24.5
2020-09-08T11:03:05.000Z,24.9
2020-09-08T11:18:05.000Z,25.2
2020-09-08T11:33:05.000Z,25.5
2020-09-08T11:48:05.000Z,25.8
2020-09-08T12:03:05.000Z,26.2
2020-09-08T12:48:05.000Z,27.2
2020-09-08T13:03:05.000Z,27.5
2020-09-08T16:03:05.000Z,30.1
2020-09-08T16:18:05.000Z,30.1
2020-09-08T16:48:05.000Z,30.0
2020-09-09T08:03:05.000Z,23.5
2020-09-09T08:18:05.000Z,23.6
2020-09-09T08:33:05.000Z,23.6
2020-09-09T09:03:05.000Z,23.9
2020-09-09T10:33:05.000Z,25.3
2020-09-09T10:48:05.000Z,25.6
2020-09-09T11:18:05.000Z,26.2
2020-09-09T11:33:05.000Z,26.5
2020-09-09T11:48:05.000Z,26.9
2020-09-09T13:03:05.000Z,28.7
2020-09-09T13:18:05.000Z,29.0
2020-09-09T13:48:05.000Z,29.6
2020-09-09T14:03:05.000Z,29.8
2020-09-09T14:18:05.000Z,30.1
2020-09-09T14:33:05.000Z,30.3
2020-09-09T14:48:05.000Z,30.5
2020-09-09T15:18:05.000Z,30.6
2020-09-09T15:33:05.000Z,30.7
2020-09-09T16:18:05.000Z,30.7
2020-09-09T16:33:05.000Z,30.7
2020-09-09T16:48:05.000Z,30.6
2020-09-10T06:33:05.000Z,24.0
2020-09-10T06:48:05.000Z,24.0
2020-09-10T07:03:05.000Z,24.0
2020-09-10T07:33:05.000Z,24.0
2020-09-10T09:03:05.000Z,24.4
2020-09-10T09:33:05.000Z,24.8
2020-09-10T09:48:15.000Z,25.0
2020-09-10T10:03:06.000Z,25.2
2020-09-10T10:18:05.000Z,25.5
2020-09-10T10:33:05.000Z,25.8
2020-09-10T10:48:05.000Z,26.0
2020-09-10T11:18:05.000Z,26.6
2020-09-10T11:48:05.000Z,27.1
2020-09-10T12:03:05.000Z,27.3
2020-09-10T12:33:05.000Z,27.7
2020-09-10T12:48:05.000Z,27.9
2020-09-10T13:03:05.000Z,28.1
2020-09-10T13:18:05.000Z,28.3
2020-09-10T14:03:05.000Z,28.9
2020-09-10T15:48:05.000Z,29.7
2020-09-10T16:33:05.000Z,29.7
2020-09-10T16:48:05.000Z,29.7
2020-09-10T17:03:05.000Z,29.7
2020-09-11T07:18:05.000Z,23.9
2020-09-11T08:03:05.000Z,23.9
2020-09-11T08:48:05.000Z,24.0
2020-09-11T09:03:05.000Z,24.1
2020-09-11T09:18:05.000Z,24.2
2020-09-11T09:33:05.000Z,24.4
2020-09-11T09:48:13.000Z,24.5
2020-09-11T10:03:06.000Z,24.7
2020-09-11T10:18:05.000Z,24.9
2020-09-11T10:33:05.000Z,25.0
2020-09-11T10:48:05.000Z,25.2
2020-09-11T11:18:05.000Z,25.6
2020-09-11T12:18:05.000Z,26.5
2020-09-11T12:33:05.000Z,26.6
2020-09-11T12:48:05.000Z,26.7
2020-09-11T13:03:05.000Z,26.9
2020-09-11T13:18:05.000Z,27.0
2020-09-11T13:33:05.000Z,27.1
2020-09-11T13:48:05.000Z,27.2
2020-09-11T14:03:05.000Z,27.4
2020-09-11T14:18:05.000Z,27.5
2020-09-11T14:33:05.000Z,27.7
2020-09-11T15:03:05.000Z,27.9
2020-09-11T15:18:05.000Z,28.1
2020-09-11T15:48:05.000Z,28.3
2020-09-11T16:03:05.000Z,28.3
2020-09-11T16:18:05.000Z,28.4
2020-09-11T16:33:05.000Z,28.4
